covid,severe,ave_temp,tag
17,3,3.6,0
8,2,5.1,0
9,2,8.2,0
21,2,6.9,0
74,2,5.2,0
110,2,5.1,0
136,2,5.3,0
236,2,5.5,0
209,3,7.3,0
143,2,9,0
111,1,7.2,0
655,1,3.9,0
903,2,3.9,0
1045,2,3.4,0
1443,1,5.5,0
1277,1,6.7,0
627,1,6.9,0
2332,1,3.5,0
2733,3,4.7,0
2866,3,4.3,0
2833,2,3,0
3285,2,5.1,0
2689,4,4.7,0
1244,4,6.5,0
4741,5,5.3,0
4639,7,7.1,0
4604,8,7.5,0
4545,12,7.1,0
5435,21,6.8,0
4189,20,6.8,0
1840,21,5.8,0
6612,22,6.2,0
6249,22,6,0
5612,26,6.5,0
5089,33,6,0
5431,34,3.4,0
4140,34,2.8,0
1761,36,4.6,0
5794,40,6.1,0
5367,49,6.8,0
4896,52,6.5,0
4580,48,7.5,0
1640,52,7.2,0
4127,52,5.7,0
1550,49,7.8,0
5741,51,7.5,0
5104,53,3.8,0
4233,52,1.8,0
3641,47,4.2,0
3843,44,5.6,0
2890,45,5.4,0
1089,44,3.2,0
4404,47,3.9,0
4308,49,3.2,0
1182,46,4.1,0
3862,43,5.4,0
3805,39,7.4,0
2517,38,9.6,0
853,39,8.4,0
3984,43,8.4,0
3509,37,9.8,0
2797,36,9.1,0
2531,37,8.2,0
2981,38,10.6,10
2116,36,6.4,0
647,37,6.1,0
3298,33,6.9,0
3054,31,8,0
2368,30,9.8,0
2117,27,11.9,10
2310,23,14.7,10
1724,23,16.1,10
617,23,16.8,10
2988,24,16.9,10
2470,25,14.7,10
1970,22,14.4,10
1562,18,12,10
1561,20,10.1,10
1300,21,9.3,0
535,20,10.3,10
368,19,7.8,0
2477,20,8.9,0
2071,16,10.9,10
1626,18,13.4,10
1802,17,15.8,10
1364,18,15.2,10
465,18,12.3,10
2262,15,11.5,10
2023,13,15.3,10
1705,14,14.3,10
1568,16,9.3,0
1813,16,9.2,0
1421,15,11.7,10
484,14,12.6,10
2309,14,12.6,10
2146,15,15.5,10
1987,12,16,10
1611,11,15.7,10
1864,10,16.6,10
1489,8,18.3,10
528,10,18.5,10
2499,13,19.6,10
2183,17,20.5,20
1755,17,19.7,10
1474,13,17,10
1553,16,13,10
1030,16,14.7,10
346,13,17.9,10
1901,12,17.3,10
1571,11,18.1,10
1483,12,17.6,10
1269,10,18.2,10
1405,11,19.3,10
1116,11,18.3,10
343,13,20.5,20
1913,10,20.8,20
1552,10,20,20
1394,8,19.2,10
1228,10,16.1,10
346,9,15,10
1068,8,14.5,10
411,8,14,10
1763,8,14.7,10
603,9,17.4,10
619,10,19.1,10
434,10,20.1,20
2242,8,21.1,20
1462,9,18.1,10
451,9,15.7,10
2116,10,18.2,10
1636,11,20.2,20
1425,10,19.9,10
1448,10,20.5,20
1649,9,19.9,10
1085,9,17.4,10
414,9,18.2,10
1950,8,18.2,10
1550,5,20.2,20
1418,5,21,20
1299,5,21.5,20
1298,3,19.9,10
1003,3,20.8,20
342,5,22.2,20
1721,5,22.3,20
1586,4,23.3,20
1336,4,22.5,20
1199,3,21.9,20
1063,4,23.6,20
873,4,24.1,20
373,4,22,20
1010,3,20.5,20
