date, ave, quality, homo
2022/4/24,18.3,8,1
2022/4/25,20.5,8,1
2022/4/26,20.8,8,1
2022/4/27,20.0,8,1
2022/4/28,19.2,8,1
2022/4/29,16.1,8,1
2022/4/30,15.0,8,1
2022/5/1,14.5,8,1
2022/5/2,14.0,8,1
2022/5/3,14.7,8,1
2022/5/4,17.4,8,1
2022/5/5,19.1,8,1
2022/5/6,20.1,8,1
2022/5/7,21.1,8,1
2022/5/8,18.1,8,1
2022/5/9,15.7,8,1
2022/5/10,18.2,8,1
2022/5/11,20.2,8,1
2022/5/12,19.9,8,1
2022/5/13,20.5,8,1
2022/5/14,19.9,8,1
2022/5/15,17.4,8,1
2022/5/16,18.2,8,1
2022/5/17,18.2,8,1
2022/5/18,20.2,8,1
2022/5/19,21.0,8,1
2022/5/20,21.5,8,1
2022/5/21,19.9,8,1
2022/5/22,20.8,8,1
2022/5/23,22.2,8,1
2022/5/24,22.3,8,1
